Product Type,Size,Paper Weight,Paper Type,Paper Color,Parts,Sides,Ink Color,Quantity,Price,Max Qty,Overage per 1000,Pricing Type
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Green / Canary / Pink / Goldenrod,5,Single,Black,1000,153,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Green / Canary / Pink / Goldenrod,5,Single,Black,2000,253,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Green / Canary / Pink / Goldenrod,5,Single,Black,2500,314,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Green / Canary / Pink / Goldenrod,5,Single,Black,3000,370,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Green / Canary / Pink / Goldenrod,5,Single,Black,4000,480,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Green / Canary / Pink / Goldenrod,5,Single,Black,5000,585,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Green / Canary / Pink / Goldenrod,5,Single,Black,6000,692,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Green / Canary / Pink / Goldenrod,5,Single,Black,7000,803,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Green / Canary / Pink / Goldenrod,5,Single,Black,8000,911,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Green / Canary / Pink / Goldenrod,5,Single,Black,9000,1024,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Green / Canary / Pink / Goldenrod,5,Single,Black,10000,1138,,,Standard
,,,,,,,,,,,,
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary,2,Double,Black,500,79,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary,2,Double,Black,1000,95,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary,2,Double,Black,2000,140,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary,2,Double,Black,2500,158,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary,2,Double,Black,3000,188,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary,2,Double,Black,4000,243,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary,2,Double,Black,5000,285,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary,2,Double,Black,6000,331,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary,2,Double,Black,7000,379,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary,2,Double,Black,8000,421,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary,2,Double,Black,9000,470,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary,2,Double,Black,10000,512,,,Standard
,,,,,,,,,,,,
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary / Pink,3,Double,Black,500,91,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary / Pink,3,Double,Black,1000,128,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary / Pink,3,Double,Black,2000,203,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary / Pink,3,Double,Black,2500,250,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary / Pink,3,Double,Black,3000,291,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary / Pink,3,Double,Black,4000,372,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary / Pink,3,Double,Black,5000,451,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary / Pink,3,Double,Black,6000,527,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary / Pink,3,Double,Black,7000,611,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary / Pink,3,Double,Black,8000,680,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary / Pink,3,Double,Black,9000,763,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary / Pink,3,Double,Black,10000,833,,,Standard
,,,,,,,,,,,,
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary / Pink / Goldenrod,4,Double,Black,500,105,,,Standard
